PRODUCT,AGE,AREA,RESIDENTIAL_PLACE,EDUCATION,MARITAL_STATUS,HOUSEHOLD_MEMBERS,NO_OF_DEPENDENTS,INCOME,WORK_SENIORITY,BUSINESS AGE,ECONOMIC_SECTOR,EMPLOYEE_NO,LENGTH_RELATIONSHIP_WITH_CLIENT,DEBIT_CARD,CURRENT_ACCOUNT,SAVING_ACCOUNT,SALARY_ACCOUNT,FOREIGN_ACCOUNT,FINALIZED_LOAN,DEPOSIT,PENSION_FUNDS,DEFAULT_FLAG
C,67,Rural area,Owner without mortgage,Vocational school,single,1,0,528,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
C,65,Rural area,Owner without mortgage,Vocational school,single,1,0,525,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
F,39,Rural area,Living with family,College,married,2,0,1581,12,14,Public administration and defence,between 101-250,10,1,1,0,0,0,1,0,0,0
C,43,County capital,Owner without mortgage,University,divorced,2,1,2349,21,24,Public administration and defence,between 251-500,11,1,1,0,0,0,1,0,0,0
B,63,County capital,Owner without mortgage,Highschool,married,2,0,704,11,23,Other,between 251-500,1,0,0,0,0,0,0,0,0,0
C,27,Rural area,Owner without mortgage,Post-graduate,married,2,1,1266.15,2,11,Manufacturing,between 21-50,2,0,0,0,0,0,0,0,0,0
C,32,County capital,Owner without mortgage,University,married,2,0,1020.7475,1,20,Manufacturing,> 1.000,1,0,0,0,0,0,0,0,0,0
C,39,Urban area,Owner without mortgage,Highschool,married,3,1,2739.34,11,24,Manufacturing,> 1.000,11,0,1,0,0,0,1,0,0,0
F,36,County capital,Living with family,University,married,2,0,809,4,8,Construction,between 11-20,2,0,0,0,0,0,0,0,0,0
F,46,Rural area,Owner without mortgage,Missing,married,2,0,2029,16,61,Public administration and defence,between 251-500,1,0,0,0,0,0,0,0,0,0
B,60,Rural area,Owner without mortgage,Highschool,married,2,0,852,5,16,Missing,Missing,2,0,0,0,0,0,0,0,0,0
F,30,Rural area,Living with family,Post-graduate,single,1,0,1728,2,22,Public administration and defence,> 1.000,4,0,0,0,0,0,0,0,0,0
C,47,County capital,Owner without mortgage,College,married,2,0,1522.78,2,15,Manufacturing,> 1.000,1,1,1,0,0,0,0,0,0,0
E,57,Urban area,Owner without mortgage,Post-graduate,widow,1,0,2083,23,26,Education,between 101-250,13,1,1,0,0,0,1,0,0,0
C,28,County capital,Living with family,University,married,2,0,1900,1,21,Information and communication,> 1.000,1,0,0,0,0,0,0,0,0,0
B,50,County capital,Owner without mortgage,Highschool,married,3,1,1337.7525,5,10,Manufacturing,between 51-100,2,0,0,0,0,0,0,0,0,0
B,25,County capital,Owner without mortgage,Highschool,single,1,0,1181,5,14,Wholesale and retail trade,> 1.000,1,0,0,0,0,0,0,0,0,0
C,24,Rural area,Living with family,Other,single,1,0,1066.9975,2,14,Manufacturing,between 251-500,1,1,1,0,0,0,0,0,0,0
C,36,Urban area,Owner without mortgage,University,married,2,0,1389.6,10,20,Public administration and defence,> 1.000,10,0,0,0,0,0,1,0,0,0
F,41,Rural area,Living with family,Highschool,married,3,1,1832,3,8,Other,between 101-250,1,0,1,0,0,0,0,0,0,0
C,62,County capital,Owner without mortgage,Vocational school,married,2,0,884,5,16,Missing,Missing,1,1,1,0,0,0,0,0,0,0
C,47,County capital,Living with family,Post secondary school,divorced,1,0,827.1,2,18,Wholesale and retail trade,> 1.000,2,1,1,0,1,0,0,0,0,0
C,68,Rural area,Owner without mortgage,Vocational school,married,2,0,966,5,16,Missing,Missing,1,1,1,0,1,0,0,0,0,0
F,29,County capital,Living with family,Post-graduate,single,1,0,3454.935,3,5,"Professional, scientific and technical activities",between 101-250,9,0,0,0,0,0,1,0,0,0
C,49,Urban area,Owner without mortgage,Vocational school,single,1,0,821.495,9,11,"Professional, scientific and technical activities",between 101-250,10,0,0,0,0,0,0,0,0,0
C,27,Rural area,Owner without mortgage,University,single,1,0,1512.575,4,23,Wholesale and retail trade,> 1.000,1,1,1,0,0,0,0,0,0,0
F,29,Rural area,Living with family,University,married,2,0,1378,5,16,"Agriculture, hunting and forestry",between 501-1.000,2,0,0,0,0,0,0,0,0,0
F,44,County capital,Owner without mortgage,University,married,2,0,1608.66,8,10,Wholesale and retail trade,> 1.000,10,0,0,0,0,0,0,0,0,0
C,55,County capital,Owner without mortgage,Vocational school,married,2,0,1634.66,2,16,Manufacturing,between 101-250,1,1,1,0,1,0,0,0,0,0
F,34,Rural area,Living with family,Post secondary school,married,2,0,1616.4,4,5,Public administration and defence,between 101-250,11,0,0,0,0,0,1,0,0,0
B,44,Rural area,Owner without mortgage,University,married,2,0,673.2,4,104,Education,between 101-250,12,0,0,0,0,0,0,0,0,0
C,66,Rural area,Owner without mortgage,Highschool,widow,1,0,874,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
C,38,Urban area,Owner without mortgage,Missing,single,1,0,836.67,6,17,Manufacturing,between 501-1.000,9,1,1,0,0,0,1,0,0,0
F,37,Urban area,Living with family,Missing,married,2,0,967,5,24,Wholesale and retail trade,between 0-10,11,0,0,0,0,0,1,0,0,0
C,54,County capital,Owner without mortgage,Missing,married,2,0,5177.03,6,23,Wholesale and retail trade,between 101-250,9,0,0,0,0,0,1,0,0,0
B,39,Rural area,Owner without mortgage,Vocational school,married,2,0,1198,3,21,Manufacturing,between 101-250,1,0,1,0,0,0,0,0,0,0
C,59,County capital,Owner without mortgage,Post secondary school,single,1,0,1053.25,3,16,Manufacturing,between 101-250,9,0,0,0,0,0,0,0,0,0
B,43,County capital,Owner without mortgage,Post secondary school,married,3,1,3752,21,25,Human health and social work activities,> 1.000,12,1,1,0,1,0,1,0,0,0
B,50,Rural area,Owner without mortgage,University,married,2,0,1000,9,9,Wholesale and retail trade,between 11-20,2,0,0,0,0,0,0,0,0,0
C,68,County capital,Owner without mortgage,Highschool,married,2,0,1470,5,16,Missing,Missing,1,0,0,0,0,0,0,0,0,0
B,32,County capital,Living with family,University,single,1,0,2068.66,2,13,Wholesale and retail trade,between 251-500,2,1,1,0,1,0,0,0,0,0
F,27,Rural area,Living with family,University,married,2,0,1542.75,2,10,Other,between 21-50,2,0,0,0,0,0,0,0,0,0
C,48,Rural area,Owner without mortgage,Post secondary school,married,2,0,1109.25,9,13,Other,> 1.000,1,0,1,0,0,0,0,0,0,0
E,56,County capital,Owner without mortgage,University,married,2,0,933,1,21,Manufacturing,between 51-100,1,1,1,0,1,0,0,0,0,0
F,27,County capital,Living with family,University,single,1,0,3981.95,3,15,Missing,> 1.000,2,0,0,0,0,0,0,0,0,0
B,65,County capital,Living with family,Highschool,widow,1,0,895,5,16,Missing,Missing,11,0,0,0,0,0,1,0,0,0
B,36,County capital,Living with family,University,divorced,1,0,986,7,15,Manufacturing,between 101-250,2,0,0,0,0,0,0,0,0,0
C,36,County capital,Other,University,single,1,0,1161,5,16,Missing,Missing,11,0,0,0,0,0,1,0,0,0
C,68,County capital,Owner without mortgage,Post secondary school,widow,1,0,926,5,16,Missing,Missing,8,0,0,0,0,0,1,0,0,0
C,46,Rural area,Owner without mortgage,College,single,1,0,943,4,16,Wholesale and retail trade,> 1.000,1,0,1,0,0,0,0,0,0,0
C,66,Rural area,Owner without mortgage,Middle school,married,2,1,821,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
B,61,County capital,Owner without mortgage,University,divorced,1,0,1400,5,16,Missing,Missing,1,1,1,0,0,0,0,0,0,0
B,35,County capital,Living with family,University,married,2,0,4380,8,19,Manufacturing,> 1.000,14,0,0,0,0,0,0,0,0,0
E,48,County capital,Owner without mortgage,Highschool,married,2,0,922.23,7,20,Accommodation and food service activities,between 51-100,1,1,1,0,1,0,0,0,0,0
C,62,County capital,Owner without mortgage,University,single,1,0,3469,2,2,Human health and social work activities,between 21-50,16,0,1,0,0,0,0,0,0,0
C,39,Urban area,Owner without mortgage,Vocational school,married,2,0,613.2,2,5,Missing,between 21-50,1,0,0,0,0,0,0,0,0,0
B,46,Rural area,Owner without mortgage,Other,married,2,0,3241.33,7,9,Manufacturing,between 251-500,1,1,1,0,1,0,0,0,0,0
B,60,Rural area,Owner without mortgage,Missing,married,2,0,1137,5,16,Missing,Missing,1,1,1,0,0,0,0,0,0,0
C,20,Urban area,Living with family,Other,single,1,0,954.4225,2,2,Manufacturing,between 501-1.000,1,1,1,0,0,0,0,0,0,0
B,57,Urban area,Owner without mortgage,Highschool,married,2,0,670,2,22,Wholesale and retail trade,between 0-10,6,0,0,0,0,0,0,0,0,0
F,28,Urban area,Living with family,University,single,1,0,2953.88,5,13,Financial and insurance activities,between 501-1.000,9,0,0,0,0,0,0,0,0,0
F,42,County capital,Owner with mortgage,University,divorced,1,0,1028.4,9,11,Public administration and defence,between 21-50,12,0,0,0,0,0,0,0,0,0
C,45,County capital,Owner without mortgage,University,married,2,0,4091,22,16,Public administration and defence,between 501-1.000,13,0,1,0,0,0,1,0,0,0
C,45,Urban area,Owner without mortgage,Vocational school,married,2,0,1997.83,26,42,Electricity and gas,between 501-1.000,1,1,1,0,0,0,0,0,0,0
C,49,County capital,Owner without mortgage,University,married,2,0,4046.5,15,15,Electricity and gas,> 1.000,2,0,0,0,0,0,0,0,0,0
C,31,County capital,Other,Post-graduate,single,1,0,2405,3,20,Financial and insurance activities,> 1.000,12,0,0,0,0,0,1,0,0,0
F,49,County capital,Owner without mortgage,University,married,2,0,3318,16,25,Education,between 251-500,2,0,0,0,0,0,0,0,0,0
C,44,County capital,Owner without mortgage,University,divorced,2,1,1230,8,17,Human health and social work activities,> 1.000,1,0,1,0,0,0,0,0,0,0
F,24,County capital,Living with family,Highschool,single,1,0,3685,4,6,Missing,> 1.000,1,1,1,0,0,0,0,0,0,0
C,58,County capital,Owner without mortgage,Post secondary school,single,1,0,1066,5,16,Missing,Missing,8,1,1,0,0,0,0,0,0,0
C,33,County capital,Owner with mortgage,University,single,1,0,9599,3,4,Other,between 101-250,1,0,0,0,0,0,0,0,0,0
C,26,Rural area,Owner without mortgage,Other,married,2,0,670,8,11,Wholesale and retail trade,between 0-10,2,0,0,0,0,0,0,0,0,0
B,62,County capital,Owner without mortgage,Other,married,2,0,1339,5,16,Missing,Missing,11,0,0,0,0,0,1,0,0,0
C,27,Rural area,Living with family,Post secondary school,single,1,0,736,6,20,Public administration and defence,> 1.000,1,0,0,0,0,0,0,0,0,1
B,42,County capital,Living with family,Other,divorced,1,0,922.66,3,21,Manufacturing,> 1.000,2,0,0,0,0,0,0,0,0,1
F,57,County capital,Owner without mortgage,University,married,2,0,2944,10,25,Missing,between 101-250,9,1,1,0,0,0,1,0,0,0
C,24,Urban area,Living with family,College,single,1,0,1352.745,4,21,Construction,between 251-500,2,0,0,0,0,0,0,0,0,0
C,62,Rural area,Owner without mortgage,Post secondary school,single,1,0,608,5,16,Missing,Missing,1,1,1,0,0,0,0,0,0,0
E,58,County capital,Owner without mortgage,Vocational school,married,2,0,1441,5,16,Missing,Missing,11,1,1,0,0,0,0,0,0,0
C,55,Urban area,Owner without mortgage,University,married,2,0,1282,21,25,Water supply,between 21-50,22,0,0,0,0,0,1,0,0,0
C,40,Rural area,Owner without mortgage,University,single,1,0,961,7,7,Public administration and defence,between 21-50,6,1,1,0,0,0,0,0,0,0
E,29,Rural area,Owner without mortgage,Vocational school,married,3,1,782.6,1,18,Wholesale and retail trade,> 1.000,1,1,1,0,1,0,0,0,0,0
C,61,County capital,Owner without mortgage,Highschool,single,1,0,848,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
F,27,County capital,Living with family,Missing,single,1,0,2770,2,12,Manufacturing,between 501-1.000,2,0,0,0,0,0,0,0,0,0
C,32,County capital,Living with family,Post-graduate,single,1,0,2862.25,4,36,Human health and social work activities,> 1.000,17,0,1,0,0,0,0,0,0,0
F,32,Urban area,Living with family,University,single,1,0,3562.25,3,21,Information and communication,> 1.000,13,0,0,0,0,0,0,0,0,0
C,50,Rural area,Living with family,Highschool,married,2,0,1434,5,16,Missing,Missing,7,1,1,0,0,0,1,0,0,0
C,42,Rural area,Owner without mortgage,Highschool,married,2,0,2443.41,9,9,Manufacturing,> 1.000,1,0,0,0,0,0,0,0,0,0
C,34,County capital,Owner without mortgage,Missing,married,3,1,1570,8,39,Education,between 21-50,1,0,1,0,0,0,0,0,0,0
B,41,Rural area,Owner without mortgage,Other,married,2,0,1534,16,21,Manufacturing,between 21-50,2,0,0,0,0,0,0,0,0,0
C,42,Rural area,Other,Post-graduate,divorced,1,0,5371,7,36,Human health and social work activities,> 1.000,1,1,1,0,0,0,0,0,0,0
C,46,Rural area,Owner without mortgage,Highschool,married,4,2,2113.66,12,13,Manufacturing,between 251-500,1,0,0,0,0,0,0,0,0,0
C,33,Rural area,Owner without mortgage,University,single,1,0,2000,2,4,"Agriculture, hunting and forestry",between 21-50,1,1,1,0,0,0,0,0,0,0
C,38,County capital,Owner without mortgage,University,married,2,0,730,1,47,Other,between 51-100,7,1,1,0,0,0,0,0,0,0
C,35,Rural area,Owner without mortgage,University,married,2,0,1016,13,55,Human health and social work activities,between 251-500,8,1,1,0,0,0,0,0,0,0
B,52,County capital,Owner without mortgage,University,married,2,0,1559,17,18,"Professional, scientific and technical activities",between 0-10,13,0,0,0,0,0,0,0,0,0
C,39,County capital,Owner without mortgage,Highschool,married,4,2,3101.3675,15,17,Manufacturing,between 501-1.000,1,0,0,0,0,0,0,0,0,0
F,36,Rural area,Living with family,Post secondary school,married,3,1,2272.75,13,41,Human health and social work activities,> 1.000,10,1,1,0,0,0,0,0,0,0
F,28,County capital,Living with family,University,single,1,0,1186.4,2,81,Human health and social work activities,> 1.000,2,0,0,0,0,0,0,0,0,0
E,30,Rural area,Living with family,Post secondary school,single,1,0,1132,1,19,Construction,between 101-250,1,1,1,0,1,0,0,0,0,0
B,40,County capital,Living with family,Post-graduate,single,1,0,2039.964,2,22,Human health and social work activities,between 51-100,2,1,1,0,1,0,0,0,0,1
B,25,County capital,Living with family,Highschool,single,1,0,1482.4,4,15,Manufacturing,> 1.000,5,0,0,0,0,0,0,0,0,0
B,25,Rural area,Living with family,University,single,1,0,5842.15,2,12,Transportation and storage,between 251-500,1,1,1,0,0,0,0,0,0,0
C,53,Urban area,Owner without mortgage,Highschool,married,2,0,1004.33,9,28,Manufacturing,between 501-1.000,9,0,0,0,0,0,0,0,0,0
F,35,Rural area,Living with family,University,married,2,0,5208.396,6,8,Wholesale and retail trade,between 101-250,13,0,0,0,0,0,0,0,0,0
E,61,Urban area,Owner without mortgage,Missing,married,2,0,869,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
C,39,Urban area,Owner without mortgage,University,divorced,1,0,1061,4,4,Education,between 0-10,10,0,0,0,0,0,0,0,0,0
F,60,Urban area,Owner without mortgage,Post secondary school,married,2,0,4007,5,16,Missing,Missing,12,1,1,0,0,0,1,0,0,0
F,26,Urban area,Living with family,University,single,1,0,2913,3,5,Transportation and storage,between 251-500,1,1,1,0,0,0,0,0,0,0
B,31,Rural area,Living with family,University,single,1,0,2212,2,10,Construction,> 1.000,2,1,1,0,0,0,0,0,0,0
C,61,County capital,Owner without mortgage,University,married,2,0,784,5,16,Missing,Missing,1,0,1,0,0,0,0,0,0,0
C,38,County capital,Owner without mortgage,Highschool,married,4,2,2033.2,14,19,Manufacturing,> 1.000,13,1,1,0,0,0,1,0,0,0
B,63,County capital,Owner without mortgage,Post-graduate,married,2,0,6716,18,18,Education,> 1.000,1,1,1,0,0,0,0,0,0,0
C,44,County capital,Owner without mortgage,Post secondary school,single,1,0,2488.5,13,13,Missing,between 501-1.000,11,0,0,0,0,0,1,0,0,0
B,32,Rural area,Living with family,Post-graduate,married,3,1,3729.6,4,14,"Professional, scientific and technical activities",between 51-100,1,1,1,0,0,0,0,0,0,0
F,27,County capital,Living with family,University,single,1,0,2120,3,13,Transportation and storage,between 251-500,2,0,0,0,0,0,0,0,0,0
C,34,County capital,Living with family,University,married,2,0,807,2,5,Manufacturing,between 501-1.000,1,0,1,0,0,0,0,0,0,0
B,28,Urban area,Living with family,University,single,1,0,1193.855,6,6,Manufacturing,between 21-50,1,1,1,0,1,0,0,0,0,0
F,29,County capital,Living with family,University,married,4,2,2125,4,17,Wholesale and retail trade,between 21-50,1,0,0,0,0,0,0,0,0,0
C,57,Urban area,Owner without mortgage,Post-graduate,widow,1,0,2083,23,26,Education,between 101-250,13,0,0,0,0,0,1,0,0,0
E,60,Urban area,Owner without mortgage,Highschool,married,2,0,690,5,16,Missing,Missing,8,1,1,0,0,0,0,0,0,0
B,44,Urban area,Owner without mortgage,Highschool,married,2,0,1046.25,10,24,Manufacturing,between 101-250,14,0,0,0,0,0,0,0,0,0
C,57,Rural area,Owner without mortgage,Post secondary school,married,2,0,1716,5,16,Missing,Missing,11,0,1,0,0,0,0,0,0,0
B,63,Rural area,Owner without mortgage,University,married,2,0,3082,5,16,Missing,Missing,10,1,1,0,0,0,0,0,0,0
C,56,County capital,Owner without mortgage,Highschool,married,2,0,1762.25,24,37,Transportation and storage,between 101-250,11,0,0,0,0,0,0,0,0,0
F,29,County capital,Living with family,University,single,1,0,2790,7,12,"Professional, scientific and technical activities",between 51-100,10,0,0,0,0,0,0,0,0,0
C,29,County capital,Living with family,Post-graduate,single,1,0,3673,2,16,"Professional, scientific and technical activities",between 0-10,1,0,0,0,0,0,0,0,0,0
F,35,County capital,Owner without mortgage,University,married,2,0,1578,3,4,Human health and social work activities,between 0-10,11,0,0,0,0,0,0,0,0,0
F,30,Urban area,Living with family,University,single,1,0,4641.07,5,12,Missing,between 501-1.000,2,0,0,0,0,0,0,0,0,0
F,40,Rural area,Living with family,Missing,divorced,2,1,2005,8,17,Manufacturing,> 1.000,2,0,0,0,0,0,0,0,0,0
C,60,Rural area,Owner without mortgage,Vocational school,married,2,0,1027,25,34,Construction,between 251-500,10,0,0,0,0,0,0,0,0,0
C,41,Rural area,Owner without mortgage,University,married,2,0,1602,14,14,Education,between 21-50,8,0,0,0,0,0,1,0,0,0
F,31,County capital,Living with family,Post secondary school,married,3,1,2645,5,24,Other,between 101-250,2,0,0,0,0,0,0,0,0,0
C,52,Urban area,Owner with mortgage,University,married,2,0,1017.6,32,16,Education,between 101-250,13,0,0,0,0,0,0,0,0,0
C,26,Rural area,Owner without mortgage,Highschool,married,3,1,1056.25,3,17,Manufacturing,between 101-250,2,0,0,0,0,0,0,0,0,1
C,27,Rural area,Living with family,University,single,2,1,1763,5,11,Accommodation and food service activities,between 21-50,1,0,0,0,0,0,0,0,0,1
F,30,Rural area,Living with family,Highschool,married,2,0,1117,2,19,Manufacturing,between 101-250,12,0,0,0,0,0,0,0,0,0
F,29,County capital,Living with family,Post secondary school,married,2,0,1145.33,2,11,Human health and social work activities,between 21-50,2,0,0,0,0,0,0,0,0,0
C,31,Urban area,Living with family,Post-graduate,married,3,1,1033.1,2,17,Manufacturing,> 1.000,1,1,1,0,1,0,0,0,0,1
C,44,Rural area,Owner without mortgage,Missing,married,3,1,1933.5,9,47,Public administration and defence,between 251-500,8,1,1,0,0,0,0,0,0,0
F,34,County capital,Owner without mortgage,University,married,3,1,1389.75,7,7,Missing,between 0-10,2,0,1,0,0,0,0,0,0,0
C,44,Urban area,Owner without mortgage,University,married,2,0,2436,19,67,Education,between 51-100,10,0,1,0,0,0,1,0,0,0
F,38,County capital,Owner with mortgage,Post-graduate,married,4,2,1777.2,9,11,Public administration and defence,> 1.000,18,1,1,0,0,0,0,0,0,0
C,47,County capital,Living with family,Post-graduate,single,1,0,1107,2,41,Education,between 21-50,2,0,0,0,0,0,0,0,0,0
C,60,County capital,Owner without mortgage,Vocational school,single,1,0,997,6,6,Water supply,between 101-250,11,1,1,0,0,0,1,0,0,0
B,49,Urban area,Owner without mortgage,Highschool,married,2,0,831.0975,13,15,Other,between 21-50,1,0,1,0,0,0,0,0,0,0
F,38,County capital,Owner without mortgage,Highschool,single,1,0,3650,3,24,Wholesale and retail trade,between 0-10,2,0,0,0,0,0,0,0,0,0
F,36,Rural area,Living with family,Missing,married,3,1,1593,11,11,Human health and social work activities,> 1.000,2,0,0,0,0,0,0,0,0,0
C,45,Rural area,Living with family,Vocational school,married,4,2,1843,1,21,Manufacturing,between 501-1.000,1,1,1,0,1,0,0,0,0,0
E,28,Rural area,Living with family,University,single,1,0,1700,2,24,Construction,between 101-250,1,1,1,0,1,0,0,0,0,0
B,45,Urban area,Owner without mortgage,University,married,4,2,1671,23,67,Public administration and defence,between 501-1.000,12,0,1,0,0,0,0,0,0,0
F,27,Urban area,Living with family,University,single,1,0,1982.5,4,21,Information and communication,> 1.000,1,1,1,0,0,0,0,0,0,0
C,26,County capital,Other,University,married,3,1,2980.5,6,13,Manufacturing,> 1.000,2,0,0,0,0,0,0,0,0,0
F,37,County capital,Owner without mortgage,University,married,2,0,7802,3,5,"Professional, scientific and technical activities",between 11-20,1,1,1,0,0,0,0,0,0,0
C,58,County capital,Owner without mortgage,Highschool,divorced,1,0,1444,5,16,Missing,Missing,11,0,0,0,0,0,0,0,0,1
C,64,Rural area,Living with family,Highschool,widow,1,0,982,5,16,Missing,Missing,12,0,0,0,0,0,0,0,0,0
F,29,Urban area,Living with family,Highschool,single,1,0,1743,6,15,Other,between 251-500,2,0,0,0,0,0,0,0,0,0
E,45,Urban area,Owner without mortgage,Highschool,married,2,0,2782,13,18,Mining and quarrying,> 1.000,16,1,1,0,0,0,0,0,0,0
C,43,Urban area,Living with family,Highschool,married,2,0,2040.33,17,31,Human health and social work activities,between 501-1.000,12,0,0,0,0,0,1,0,0,0
C,45,County capital,Living with family,Post secondary school,divorced,1,0,1187.4925,7,12,Manufacturing,between 501-1.000,2,0,0,0,0,0,0,0,0,0
C,51,Rural area,Owner without mortgage,Vocational school,married,2,0,918,5,5,Other,between 501-1.000,1,0,0,0,0,0,0,0,0,0
E,23,County capital,Owner without mortgage,University,single,1,0,1248.7475,2,24,Wholesale and retail trade,between 501-1.000,2,1,1,0,1,0,0,0,0,0
C,25,County capital,Living with family,Highschool,single,1,0,1385.445,3,12,Manufacturing,> 1.000,1,0,0,0,0,0,0,0,0,0
F,26,County capital,Living with family,Highschool,single,1,0,1071.5,3,9,Transportation and storage,between 21-50,7,0,1,0,0,0,0,0,0,0
C,47,County capital,Owner without mortgage,University,single,1,0,1537,25,26,Transportation and storage,> 1.000,14,0,0,0,0,0,1,0,0,0
F,55,Rural area,Owner without mortgage,Post secondary school,divorced,1,0,1711,36,45,Education,between 21-50,11,0,0,0,0,0,1,0,0,0
C,45,Rural area,Living with family,Post secondary school,single,1,0,658,3,80,Missing,> 1.000,2,0,0,0,0,0,0,0,0,0
C,42,County capital,Owner without mortgage,Post-graduate,married,2,0,7661.67,9,9,Wholesale and retail trade,between 101-250,15,1,1,0,0,0,1,0,0,0
F,28,Urban area,Living with family,Highschool,single,1,0,897.83,2,9,Wholesale and retail trade,between 501-1.000,1,1,1,0,0,0,0,0,0,0
C,60,Rural area,Living with family,Highschool,married,2,0,1246,33,33,Public administration and defence,between 11-20,2,0,0,0,0,0,0,0,0,0
B,57,County capital,Owner without mortgage,Post secondary school,divorced,1,0,880,5,16,Missing,Missing,4,0,0,0,0,0,0,0,0,0
B,30,Rural area,Owner without mortgage,University,married,2,0,1291.0025,3,12,Manufacturing,between 251-500,1,1,1,0,0,0,0,0,0,0
C,68,Rural area,Owner without mortgage,Highschool,married,2,0,1005,5,16,Missing,Missing,1,0,0,0,0,0,0,0,0,0
F,31,Missing,Living with family,University,single,1,0,5837.4,3,17,Wholesale and retail trade,between 21-50,9,1,1,0,0,0,0,0,0,0
F,32,Rural area,Living with family,University,single,1,0,1568.75,8,22,Missing,between 21-50,1,0,0,0,0,0,0,0,0,0
E,63,Rural area,Owner without mortgage,Highschool,divorced,1,0,744,5,16,Missing,Missing,2,1,1,0,1,0,0,0,0,0
B,39,County capital,Owner without mortgage,University,married,4,2,5116.5,15,23,Public administration and defence,between 501-1.000,2,0,0,0,0,0,0,0,0,0
C,48,Urban area,Owner without mortgage,Post secondary school,married,2,0,832,3,4,Other,between 101-250,9,0,0,0,0,0,0,0,0,0
E,60,Rural area,Owner without mortgage,Highschool,married,2,0,1860,5,16,Missing,Missing,11,1,1,0,0,0,1,0,0,0
F,34,Urban area,Living with family,University,married,2,0,6107.66,8,10,Manufacturing,> 1.000,1,1,1,0,0,0,0,0,0,0
B,24,Rural area,Living with family,Post secondary school,single,2,1,1022,4,19,Manufacturing,between 101-250,1,0,1,0,0,0,0,0,0,0
C,60,Urban area,Owner without mortgage,Vocational school,married,2,0,964,8,18,Water supply,between 501-1.000,1,1,1,0,0,0,0,0,0,0
F,27,Rural area,Living with family,University,single,1,0,874.38,6,20,Public administration and defence,between 501-1.000,1,1,1,0,0,0,0,0,0,0
F,30,County capital,Living with family,University,married,2,0,2739.33,2,18,Manufacturing,> 1.000,2,0,0,0,0,0,0,0,0,0
E,53,Rural area,Living with family,Highschool,married,2,0,2620,25,25,Public administration and defence,between 501-1.000,1,1,1,0,1,0,0,0,0,0
F,33,County capital,Living with family,University,single,1,0,5941.66,7,18,Mining and quarrying,> 1.000,2,0,0,0,0,0,0,0,0,0
B,45,County capital,Owner without mortgage,Other,married,2,0,1612.62,17,17,Transportation and storage,> 1.000,11,0,0,0,0,0,1,0,0,1
B,30,County capital,Living with family,University,single,1,0,2696.33,6,12,Public administration and defence,between 501-1.000,9,1,1,0,0,0,0,0,0,0
F,37,Urban area,Living with family,University,married,2,0,2097.25,14,55,Education,between 51-100,1,1,1,0,0,0,0,0,0,0
C,48,Rural area,Owner without mortgage,College,married,2,0,1736.33,24,24,"Agriculture, hunting and forestry",between 51-100,19,0,0,0,0,0,1,0,0,0
C,42,Urban area,Owner without mortgage,Missing,married,4,2,907.33,1,8,Manufacturing,between 21-50,1,1,1,0,0,0,0,0,0,0
C,61,County capital,Owner without mortgage,Highschool,married,2,0,1633,5,16,Missing,Missing,13,0,1,0,0,0,1,0,0,0
B,42,Rural area,Owner without mortgage,University,married,3,1,1308.33,12,14,Manufacturing,between 101-250,2,0,0,0,0,0,0,0,0,0
E,34,Rural area,Living with family,University,married,3,1,1922,9,26,Public administration and defence,between 501-1.000,2,1,1,0,1,0,0,0,0,0
C,44,Urban area,Living with family,Post secondary school,single,1,0,1969,7,24,Wholesale and retail trade,between 21-50,1,0,0,0,0,0,0,0,0,1
E,31,Rural area,Owner without mortgage,University,single,1,0,748,1,19,Construction,between 101-250,1,1,1,0,1,0,0,0,0,1
B,62,County capital,Owner without mortgage,Post secondary school,married,2,0,1797,5,16,Missing,Missing,1,0,0,0,0,0,0,0,0,0
C,41,Rural area,Owner without mortgage,Vocational school,widow,4,3,1050,5,16,Missing,Missing,1,0,0,0,0,0,0,0,0,0
C,57,Urban area,Owner without mortgage,Highschool,married,2,0,1229,5,16,Missing,Missing,11,1,1,0,0,0,0,0,0,0
F,28,County capital,Living with family,Highschool,single,1,0,1717,3,21,Manufacturing,> 1.000,5,0,0,0,0,0,0,0,0,0
C,45,Rural area,Owner without mortgage,Post-graduate,married,2,0,1410,25,56,Education,between 21-50,1,1,1,0,0,0,0,0,0,0
C,47,County capital,Living with family,Post secondary school,single,1,0,945.055,2,9,Manufacturing,between 501-1.000,4,0,0,0,0,0,0,0,0,0
F,39,County capital,Owner with mortgage,University,married,3,1,2520,6,11,Missing,between 251-500,2,0,0,0,0,0,0,0,0,0
C,40,County capital,Owner without mortgage,Highschool,divorced,1,0,1187.6725,3,24,Manufacturing,> 1.000,1,1,1,0,0,0,0,0,0,0
C,35,Rural area,Owner without mortgage,University,married,2,0,1379.4925,2,6,Manufacturing,between 101-250,1,1,1,0,0,0,0,0,0,1
C,54,Urban area,Owner without mortgage,Highschool,married,2,0,1370,5,16,Missing,Missing,13,1,1,0,0,0,0,0,0,0
